ad_id,date,impressions,clicks,conversions,avg_bid_price,avg_cpc,ctr,conversion_rate
ad_8,2026-02-10,31,10,3,2.5062935483870965,1.73915,0.3225806451612903,0.3
ad_8,2026-02-06,98,31,8,2.5588785714285716,1.5893032258064517,0.3163265306122449,0.25806451612903225
ad_14,2026-02-10,42,13,4,2.6157904761904764,1.472030769230769,0.30952380952380953,0.3076923076923077
ad_15,2026-02-03,71,21,5,2.7219971830985914,1.8585238095238092,0.29577464788732394,0.23809523809523808
ad_3,2026-02-10,34,10,3,1.9963117647058823,1.3992200000000001,0.29411764705882354,0.3
ad_1,2026-02-10,45,13,0,2.4398844444444445,1.4556,0.28888888888888886,0.0
ad_11,2026-02-10,32,9,3,2.1858625,1.090811111111111,0.28125,0.3333333333333333
ad_5,2026-02-10,43,12,1,2.282709302325581,1.47295,0.27906976744186046,0.08333333333333333
ad_4,2026-02-04,97,26,8,2.4835876288659797,1.7846692307692307,0.26804123711340205,0.3076923076923077
ad_14,2026-02-07,116,31,6,2.6830844827586207,1.575990322580645,0.2672413793103448,0.1935483870967742
ad_4,2026-02-09,121,32,9,2.4940983471074376,1.4667125,0.2644628099173554,0.28125
ad_6,2026-02-04,116,30,6,2.450415517241379,1.5103499999999999,0.25862068965517243,0.2
ad_8,2026-02-03,66,17,4,2.4260075757575756,1.398864705882353,0.25757575757575757,0.23529411764705882
ad_15,2026-02-04,105,27,6,2.4173990476190474,1.4428666666666667,0.2571428571428571,0.2222222222222222
ad_4,2026-02-10,43,11,1,2.5972604651162787,0.9302636363636364,0.2558139534883721,0.09090909090909091
ad_17,2026-02-03,71,18,2,2.668664788732394,1.320738888888889,0.2535211267605634,0.1111111111111111
ad_15,2026-02-06,119,30,10,2.5281697478991596,1.5636933333333334,0.25210084033613445,0.3333333333333333
ad_16,2026-02-10,40,10,2,2.556965,1.40437,0.25,0.2
ad_2,2026-02-05,124,31,6,2.4991725806451615,1.5356548387096773,0.25,0.1935483870967742
ad_3,2026-02-08,117,29,8,2.487459829059829,1.3309620689655173,0.24786324786324787,0.27586206896551724
